,time,low,high,open,close
0,2021-09-24 04:00:00+00:00,,,,
1,2021-09-24 05:00:00+00:00,,,,
2,2021-09-24 06:00:00+00:00,,,,
3,2021-09-24 07:00:00+00:00,,,,
4,2021-09-24 08:00:00+00:00,,,,
5,2021-09-24 09:00:00+00:00,2.3114,2.315,2.315,2.3114
6,2021-09-24 10:00:00+00:00,2.3114,2.3114,2.3114,2.3114
7,2021-09-24 11:00:00+00:00,2.3114,2.3114,2.3114,2.3114
8,2021-09-24 12:00:00+00:00,2.1298,2.1418,2.3114,2.1418
9,2021-09-24 13:00:00+00:00,2.1616,2.216,2.1418,2.1648
10,2021-09-24 14:00:00+00:00,2.1636,2.1876,2.1648,2.1876
11,2021-09-24 15:00:00+00:00,2.2356,2.2482,2.1876,2.2482
12,2021-09-24 16:00:00+00:00,2.1919,2.2421,2.2482,2.1981
13,2021-09-24 17:00:00+00:00,2.2324,2.255,2.1981,2.2518
14,2021-09-24 18:00:00+00:00,2.2219,2.2428,2.2518,2.2219
15,2021-09-24 19:00:00+00:00,2.2292,2.2362,2.2219,2.2292
16,2021-09-24 20:00:00+00:00,2.2347,2.2718,2.2292,2.2718
17,2021-09-24 21:00:00+00:00,2.2774,2.2925,2.2718,2.2783
18,2021-09-24 22:00:00+00:00,2.2895,2.2943,2.2783,2.2943
19,2021-09-24 23:00:00+00:00,2.3031,2.3031,2.2943,2.3031
20,2021-09-25 00:00:00+00:00,2.2826,2.2826,2.3031,2.2826
21,2021-09-25 01:00:00+00:00,2.2683,2.2794,2.2826,2.2683
22,2021-09-25 02:00:00+00:00,2.2683,2.2683,2.2683,2.2683
23,2021-09-25 03:00:00+00:00,2.2683,2.2683,2.2683,2.2683
24,2021-09-25 04:00:00+00:00,2.2683,2.2683,2.2683,2.2683
25,2021-09-25 05:00:00+00:00,2.3713,2.3758,2.2683,2.3758
26,2021-09-25 06:00:00+00:00,2.3634,2.3777,2.3758,2.3634
27,2021-09-25 07:00:00+00:00,2.342,2.342,2.3634,2.342
28,2021-09-25 08:00:00+00:00,2.342,2.342,2.342,2.342
29,2021-09-25 09:00:00+00:00,2.342,2.342,2.342,2.342
30,2021-09-25 10:00:00+00:00,2.342,2.342,2.342,2.342
31,2021-09-25 11:00:00+00:00,2.342,2.342,2.342,2.342
32,2021-09-25 12:00:00+00:00,2.323,2.323,2.342,2.323
33,2021-09-25 13:00:00+00:00,2.323,2.323,2.323,2.323
34,2021-09-25 14:00:00+00:00,2.323,2.323,2.323,2.323
35,2021-09-25 15:00:00+00:00,2.323,2.323,2.323,2.323
36,2021-09-25 16:00:00+00:00,2.3972,2.3972,2.323,2.3972
37,2021-09-25 17:00:00+00:00,2.3972,2.3972,2.3972,2.3972
38,2021-09-25 18:00:00+00:00,2.3972,2.3972,2.3972,2.3972
39,2021-09-25 19:00:00+00:00,2.3943,2.4141,2.3972,2.4141
40,2021-09-25 20:00:00+00:00,2.4141,2.4141,2.4141,2.4141
41,2021-09-25 21:00:00+00:00,2.3486,2.3618,2.4141,2.3508
42,2021-09-25 22:00:00+00:00,2.3508,2.3508,2.3508,2.3508
43,2021-09-25 23:00:00+00:00,2.3508,2.3508,2.3508,2.3508
44,2021-09-26 00:00:00+00:00,2.3508,2.3508,2.3508,2.3508
45,2021-09-26 01:00:00+00:00,2.3508,2.3508,2.3508,2.3508
46,2021-09-26 02:00:00+00:00,2.3508,2.3508,2.3508,2.3508
47,2021-09-26 03:00:00+00:00,2.3508,2.3508,2.3508,2.3508
48,2021-09-26 04:00:00+00:00,2.3508,2.3508,2.3508,2.3508
